"","t","x","y"
"5717",93132,0.16122,0.472498
"5718",93148,0.160982,0.472055
"5719",93163,0.160811,0.47105
"5720",93179,0.160982,0.469954
"5721",93194,0.161038,0.469812
"5722",93226,0.161098,0.470338
"5723",93241,0.160838,0.470989
"5724",93257,0.160565,0.471649
"5725",93272,0.160107,0.471944
"5726",93288,0.159993,0.47188
"5727",93304,0.159905,0.471892
"5728",93319,0.15998,0.472251
"5729",93335,0.160588,0.472497
"5730",93350,0.160792,0.472839
"5731",93366,0.161134,0.472689
"5732",93382,0.161133,0.472414
"5733",93397,0.161075,0.47207
"5734",93413,0.161076,0.471602
"5735",93428,0.16104,0.472074
"5736",93444,0.161014,0.472949
"5737",93460,0.161274,0.474348
"5738",93475,0.161372,0.475689
"5739",93491,0.161245,0.476336
"5740",93506,0.161304,0.47688
"5741",93522,0.161102,0.477223
"5742",93538,0.161274,0.477943
"5743",93553,0.162015,0.478924
"5744",93569,0.16268,0.479811
"5745",93584,0.163193,0.481103
"5746",93600,0.163273,0.482327
"5747",93616,0.16285,0.483752
"5748",93631,0.162493,0.485394
"5749",93662,0.162013,0.487058
"5750",93678,0.161518,0.489028
"5751",93694,0.161332,0.490714
"5752",93709,0.161178,0.491833
"5753",93725,0.161231,0.492457
"5754",93740,0.161026,0.492941
"5755",93756,0.160893,0.493365
"5756",93772,0.160948,0.494659
"5757",93787,0.161115,0.495938
"5758",93803,0.161403,0.49657
